algorithm,order,quantity,compare,moves,processing_time
bubblesort,ORDERED,10,9,0,0.0
insertionsort,ORDERED,10,9,20,0.0
selectionsort,ORDERED,10,45,27,0.0
heapsort,ORDERED,10,31,90,0.0
mergesort,ORDERED,10,5,10,0.0
quicksort,ORDERED,10,9,30,0.0
librarysort,ORDERED,10,26,39,0.0
bubblesort,INVERSE,10,45,135,0.0
insertionsort,INVERSE,10,9,65,0.0
selectionsort,INVERSE,10,45,27,0.0
heapsort,INVERSE,10,53,153,0.0
mergesort,INVERSE,10,5,10,0.0
quicksort,INVERSE,10,9,3,0.0
librarysort,INVERSE,10,27,111,0.0
bubblesort,ALMOST,10,45,27,0.0
insertionsort,ALMOST,10,9,29,0.0
selectionsort,ALMOST,10,45,27,0.0
heapsort,ALMOST,10,82,240,0.0
quicksort,ALMOST,10,9,3,0.0
mergesort,ALMOST,10,6,10,0.0
librarysort,ALMOST,10,26,39,0.0
heapsort,RANDOM,10,111,315,0.0
selectionsort,RANDOM,10,45,27,0.0
bubblesort,RANDOM,10,45,93,0.0
insertionsort,RANDOM,10,9,45,0.0
selectionsort,ORDERED,100,4950,297,0.0
librarysort,RANDOM,10,31,65,0.0
heapsort,ORDERED,100,921,2235,0.0
quicksort,RANDOM,10,9,6,0.0
bubblesort,ORDERED,100,99,0,0.0
insertionsort,ORDERED,100,99,200,0.0
mergesort,RANDOM,10,8,10,0.0
mergesort,ORDERED,100,50,100,0.0
quicksort,ORDERED,100,99,300,0.015625
librarysort,ORDERED,100,663,456,0.0
bubblesort,INVERSE,100,4950,14850,0.0
insertionsort,INVERSE,100,99,5150,0.0
selectionsort,INVERSE,100,4950,297,0.0
heapsort,INVERSE,100,1578,3783,0.0
mergesort,INVERSE,100,50,100,0.0
quicksort,INVERSE,100,99,3,0.0
bubblesort,ALMOST,100,4950,30,0.0
librarysort,INVERSE,100,648,8544,0.0
insertionsort,ALMOST,100,99,210,0.0
selectionsort,ALMOST,100,4950,297,0.0
heapsort,ALMOST,100,2382,5691,0.0
mergesort,ALMOST,100,50,100,0.0
quicksort,ALMOST,100,99,300,0.0
bubblesort,RANDOM,100,4950,7332,0.0
librarysort,ALMOST,100,646,456,0.0
insertionsort,RANDOM,100,99,2653,0.0
selectionsort,RANDOM,100,4950,297,0.0
heapsort,RANDOM,100,3122,7428,0.0
mergesort,RANDOM,100,96,100,0.0
quicksort,RANDOM,100,99,246,0.0
librarysort,RANDOM,100,652,1589,0.0
bubblesort,ORDERED,1000,999,0,0.0
insertionsort,ORDERED,1000,999,2000,0.0
heapsort,ORDERED,1000,16339,36552,0.015625
mergesort,ORDERED,1000,500,1000,0.0
selectionsort,ORDERED,1000,499500,2997,0.125
librarysort,ORDERED,1000,11425,4035,0.0
quicksort,ORDERED,1000,999,3000,0.296875
selectionsort,INVERSE,1000,499500,2997,0.21875
heapsort,INVERSE,1000,27684,61500,0.0
mergesort,INVERSE,1000,500,1000,0.0
bubblesort,INVERSE,1000,499500,1498500,0.484375
insertionsort,INVERSE,1000,999,501500,0.421875
librarysort,INVERSE,1000,9910,982521,0.078125
insertionsort,ALMOST,1000,999,2010,0.0
quicksort,INVERSE,1000,999,3,0.203125
bubblesort,ALMOST,1000,499500,30,0.078125
heapsort,ALMOST,1000,40910,90630,0.0
selectionsort,ALMOST,1000,499500,2997,0.078125
librarysort,ALMOST,1000,11380,4035,0.0
mergesort,ALMOST,1000,500,1000,0.0
heapsort,RANDOM,1000,53263,117906,0.0
quicksort,ALMOST,1000,999,3000,0.296875
mergesort,RANDOM,1000,999,1000,0.0
selectionsort,RANDOM,1000,499500,2997,0.140625
insertionsort,RANDOM,1000,999,250380,0.28125
quicksort,RANDOM,1000,999,1668,0.0
bubblesort,RANDOM,1000,499500,767103,0.34375
bubblesort,ORDERED,10000,9999,0,0.0
insertionsort,ORDERED,10000,9999,20000,0.0
librarysort,RANDOM,1000,10365,53720,0.046875
mergesort,ORDERED,10000,5000,10000,0.140625
heapsort,ORDERED,10000,235439,513774,0.28125
librarysort,ORDERED,10000,164107,59103,0.1875
heapsort,INVERSE,10000,399057,863862,0.8125
mergesort,INVERSE,10000,5000,10000,0.671875
insertionsort,ALMOST,10000,9999,20010,0.0
mergesort,ALMOST,10000,5000,10000,0.359375
librarysort,ALMOST,10000,164011,59103,0.328125
heapsort,ALMOST,10000,581234,1259640,2.390625
mergesort,RANDOM,10000,9998,10000,1.203125
quicksort,RANDOM,10000,9999,14712,0.71875
heapsort,RANDOM,10000,754200,1632297,1.15625
bubblesort,ORDERED,100000,99999,0,0.15625
insertionsort,ORDERED,100000,99999,200000,0.4375
librarysort,RANDOM,10000,142001,1507296,6.984375
insertionsort,ALMOST,100000,99999,200010,0.421875
mergesort,ORDERED,100000,50000,100000,13.171875
mergesort,INVERSE,100000,50000,100000,17.46875
librarysort,ORDERED,100000,2149437,493158,27.359375
mergesort,ALMOST,100000,50000,100000,27.640625
heapsort,INVERSE,100000,5103022,11329074,36.015625
librarysort,ALMOST,100000,2149478,493158,27.078125
heapsort,ORDERED,100000,5701446,12914781,47.328125
quicksort,RANDOM,100000,99999,260880,22.1875
mergesort,RANDOM,100000,99996,100000,24.515625
